Temperature,Dew Point,Humidity,Wind Speed,Wind Gust,Pressure,Precip.,Precip Accum,Condition,Wind,date_time
73.0,68.0,84.0,5.0,0.0,29.0,0.0,0.0,Mostly Cloudy,ESE,2018-10-01 20:52:00
73.0,67.0,81.0,7.0,0.0,29.0,0.0,0.0,Mostly Cloudy,E,2018-10-01 21:52:00
73.0,67.0,81.0,7.0,0.0,29.0,0.0,0.0,Cloudy,E,2018-10-01 22:52:00
73.0,66.0,78.0,8.0,0.0,29.0,0.0,0.0,Cloudy,ESE,2018-10-01 23:47:00
73.0,67.0,81.0,7.0,0.0,29.0,0.0,0.0,Cloudy,E,2018-10-01 23:52:00
72.0,67.0,84.0,7.0,0.0,29.0,0.0,0.0,Mostly Cloudy,ESE,2018-10-01 00:25:00
72.0,67.0,84.0,6.0,0.0,29.0,0.0,0.0,Mostly Cloudy,E,2018-10-01 00:52:00
72.0,67.0,84.0,8.0,0.0,29.0,0.0,0.0,Cloudy,E,2018-10-01 00:57:00
72.0,67.0,84.0,9.0,0.0,29.0,0.0,0.0,Cloudy,E,2018-10-01 01:52:00
71.0,68.0,90.0,9.0,0.0,29.0,0.0,0.0,Light Rain,E,2018-10-01 02:20:00
71.0,67.0,87.0,10.0,0.0,29.0,0.0,0.0,Mostly Cloudy,E,2018-10-01 02:52:00
70.0,67.0,90.0,7.0,0.0,29.0,0.0,0.0,Mostly Cloudy,E,2018-10-01 03:35:00
70.0,67.0,90.0,7.0,0.0,29.0,0.0,0.0,Mostly Cloudy,E,2018-10-01 03:52:00
72.0,66.0,81.0,9.0,0.0,29.0,0.0,0.0,Mostly Cloudy,E,2018-10-01 04:52:00
75.0,65.0,71.0,9.0,0.0,29.0,0.0,0.0,Mostly Cloudy,E,2018-10-01 05:52:00
79.0,64.0,60.0,9.0,0.0,29.0,0.0,0.0,Mostly Cloudy,E,2018-10-01 06:52:00
80.0,63.0,56.0,8.0,0.0,29.0,0.0,0.0,Mostly Cloudy,ESE,2018-10-01 07:52:00
82.0,62.0,51.0,8.0,0.0,29.0,0.0,0.0,Mostly Cloudy,ESE,2018-10-01 08:52:00
83.0,63.0,51.0,3.0,0.0,29.0,0.0,0.0,Mostly Cloudy,SE,2018-10-01 09:52:00
85.0,62.0,46.0,13.0,16.0,29.0,0.0,0.0,Partly Cloudy,E,2018-10-01 10:52:00
85.0,62.0,46.0,10.0,0.0,29.0,0.0,0.0,Mostly Cloudy,ESE,2018-10-01 11:52:00
85.0,61.0,44.0,13.0,0.0,29.0,0.0,0.0,Mostly Cloudy,ESE,2018-10-01 12:52:00
83.0,62.0,49.0,6.0,0.0,29.0,0.0,0.0,Partly Cloudy,NE,2018-10-01 13:52:00
80.0,61.0,52.0,9.0,0.0,29.0,0.0,0.0,Partly Cloudy,E,2018-10-01 14:52:00
78.0,59.0,52.0,7.0,0.0,29.0,0.0,0.0,Partly Cloudy,E,2018-10-01 15:52:00
76.0,61.0,60.0,7.0,0.0,29.0,0.0,0.0,Partly Cloudy,E,2018-10-01 16:52:00
76.0,59.0,56.0,6.0,0.0,29.0,0.0,0.0,Fair,E,2018-10-01 17:52:00
73.0,58.0,59.0,5.0,0.0,29.0,0.0,0.0,Fair,E,2018-10-01 18:52:00
73.0,58.0,59.0,6.0,0.0,29.0,0.0,0.0,Partly Cloudy,E,2018-10-01 19:52:00
73.0,63.0,71.0,0.0,0.0,29.0,0.0,0.0,Fair,CALM,2018-10-03 20:52:00
72.0,62.0,71.0,0.0,0.0,29.0,0.0,0.0,Fair,CALM,2018-10-03 21:52:00
71.0,62.0,73.0,0.0,0.0,29.0,0.0,0.0,Fair,CALM,2018-10-03 22:52:00
70.0,62.0,76.0,0.0,0.0,29.0,0.0,0.0,Fair,CALM,2018-10-03 23:52:00
70.0,62.0,76.0,0.0,0.0,29.0,0.0,0.0,Fair,CALM,2018-10-03 00:52:00
70.0,61.0,73.0,0.0,0.0,29.0,0.0,0.0,Fair,CALM,2018-10-03 01:52:00
69.0,61.0,75.0,0.0,0.0,29.0,0.0,0.0,Partly Cloudy,CALM,2018-10-03 02:52:00
70.0,62.0,76.0,0.0,0.0,29.0,0.0,0.0,Partly Cloudy,CALM,2018-10-03 03:52:00
74.0,64.0,71.0,0.0,0.0,29.0,0.0,0.0,Partly Cloudy,CALM,2018-10-03 04:52:00
78.0,67.0,68.0,5.0,0.0,29.0,0.0,0.0,Partly Cloudy,SW,2018-10-03 05:52:00
82.0,67.0,60.0,5.0,0.0,29.0,0.0,0.0,Partly Cloudy,VAR,2018-10-03 06:52:00
82.0,63.0,52.0,3.0,0.0,29.0,0.0,0.0,Partly Cloudy,VAR,2018-10-03 07:52:00
85.0,64.0,49.0,7.0,0.0,29.0,0.0,0.0,Partly Cloudy,VAR,2018-10-03 08:52:00
88.0,63.0,43.0,0.0,0.0,29.0,0.0,0.0,Mostly Cloudy,CALM,2018-10-03 09:52:00
88.0,62.0,42.0,7.0,0.0,29.0,0.0,0.0,Mostly Cloudy,SE,2018-10-03 10:52:00
88.0,60.0,39.0,5.0,0.0,29.0,0.0,0.0,Partly Cloudy,ESE,2018-10-03 11:52:00
88.0,62.0,42.0,7.0,0.0,29.0,0.0,0.0,Partly Cloudy,S,2018-10-03 12:52:00
86.0,61.0,43.0,0.0,0.0,29.0,0.0,0.0,Mostly Cloudy,CALM,2018-10-03 13:52:00
85.0,62.0,46.0,6.0,0.0,29.0,0.0,0.0,Partly Cloudy,ESE,2018-10-03 14:52:00
81.0,63.0,54.0,3.0,0.0,29.0,0.0,0.0,Partly Cloudy,S,2018-10-03 15:52:00
80.0,63.0,56.0,0.0,0.0,29.0,0.0,0.0,Partly Cloudy,CALM,2018-10-03 16:52:00
79.0,64.0,60.0,0.0,0.0,29.0,0.0,0.0,Fair,CALM,2018-10-03 17:52:00
78.0,64.0,62.0,0.0,0.0,29.0,0.0,0.0,Fair,CALM,2018-10-03 18:52:00
